Mutation Rate,Population Size,Numer of Generations,is_tournament,Tournament Size,Max Fitness Achieved,Valley Wdith,Genome Length
0.001,10,1000,False,97,54,3,100
0.001,10,1000,False,98,47,3,100
0.001,10,1000,False,99,43,3,100
0.001,10,1000,False,100,43,3,100
0.001,100,1000,False,1,29,3,100
0.001,100,1000,False,2,29,3,100
0.001,100,1000,False,3,28,3,100
0.001,100,1000,False,4,25,3,100
0.001,100,1000,False,5,32,3,100
0.001,100,1000,False,6,22,3,100
0.001,100,1000,False,7,25,3,100
0.001,100,1000,False,8,31,3,100
0.001,100,1000,False,9,22,3,100
0.001,100,1000,False,10,43,3,100
0.001,100,1000,False,11,17,3,100
0.001,100,1000,False,12,22,3,100
0.001,100,1000,False,13,28,3,100
0.001,100,1000,False,14,28,3,100
0.001,100,1000,False,15,37,3,100
0.001,100,1000,False,16,20,3,100
0.001,100,1000,False,17,16,3,100
0.001,100,1000,False,18,29,3,100
0.001,100,1000,False,19,34,3,100
0.001,100,1000,False,20,35,3,100
0.001,100,1000,False,21,22,3,100
0.001,100,1000,False,22,32,3,100
0.001,100,1000,False,23,22,3,100
0.001,100,1000,False,24,43,3,100
0.001,100,1000,False,25,16,3,100
0.001,100,1000,False,26,31,3,100
0.001,100,1000,False,27,35,3,100
0.001,100,1000,False,28,31,3,100
0.001,100,1000,False,29,26,3,100
0.001,100,1000,False,30,28,3,100
0.001,100,1000,False,31,40,3,100
0.001,100,1000,False,32,28,3,100
0.001,100,1000,False,33,22,3,100
0.001,100,1000,False,34,38,3,100
0.001,100,1000,False,35,20,3,100
0.001,100,1000,False,36,35,3,100
0.001,100,1000,False,37,29,3,100
0.001,100,1000,False,38,40,3,100
0.001,100,1000,False,39,29,3,100
0.001,100,1000,False,40,38,3,100
0.001,10,1000,False,1,3,3,100
0.001,10,1000,False,2,12,3,100
0.001,10,1000,False,3,7,3,100
0.001,10,1000,False,4,13,3,100
0.001,10,1000,False,5,0,3,100
0.001,10,1000,False,6,15,3,100
0.001,10,1000,False,7,13,3,100
0.001,10,1000,False,8,13,3,100
0.001,10,1000,False,9,32,3,100
0.001,10,1000,False,10,48,3,100
0.001,10,1000,False,11,33,3,100
0.001,10,1000,False,12,44,3,100
0.001,10,1000,False,13,48,3,100
0.001,10,1000,False,14,36,3,100
0.001,10,1000,False,15,45,3,100
0.001,10,1000,False,16,45,3,100
0.001,10,1000,False,17,48,3,100
0.001,10,1000,False,18,30,3,100
0.001,10,1000,False,19,33,3,100
0.001,10,1000,False,20,45,3,100
0.001,10,1000,False,21,43,3,100
0.001,10,1000,False,22,47,3,100
0.001,10,1000,False,23,50,3,100
0.001,10,1000,False,24,45,3,100
0.001,10,1000,False,25,45,3,100
0.001,10,1000,False,26,40,3,100
0.001,10,1000,False,27,50,3,100
0.001,10,1000,False,28,47,3,100
0.001,10,1000,False,29,48,3,100
0.001,10,1000,False,30,42,3,100
0.001,10,1000,False,31,44,3,100
0.001,10,1000,False,32,41,3,100
0.001,10,1000,False,33,53,3,100
0.001,10,1000,False,34,42,3,100
0.001,10,1000,False,35,40,3,100
0.001,10,1000,False,36,43,3,100
0.001,10,1000,False,37,48,3,100
0.001,10,1000,False,38,38,3,100
0.001,10,1000,False,39,41,3,100
0.001,10,1000,False,40,44,3,100
0.001,10,1000,False,41,36,3,100
0.001,10,1000,False,42,44,3,100
0.001,10,1000,False,43,45,3,100
0.001,10,1000,False,44,47,3,100
0.001,10,1000,False,45,42,3,100
0.001,10,1000,False,46,42,3,100
0.001,10,1000,False,47,39,3,100
0.001,10,1000,False,48,50,3,100
0.001,10,1000,False,49,50,3,100
0.001,10,1000,False,50,40,3,100
0.001,10,1000,False,51,44,3,100
0.001,10,1000,False,52,41,3,100
0.001,10,1000,False,53,44,3,100
0.001,10,1000,False,54,43,3,100
0.001,10,1000,False,55,45,3,100
0.001,10,1000,False,56,45,3,100
0.001,10,1000,False,57,48,3,100
0.001,10,1000,False,58,41,3,100
0.001,10,1000,False,59,44,3,100
0.001,10,1000,False,60,48,3,100
0.001,10,1000,False,61,42,3,100
0.001,10,1000,False,62,53,3,100
0.001,10,1000,False,63,41,3,100
0.001,10,1000,False,64,42,3,100
0.001,10,1000,False,65,48,3,100
0.001,10,1000,False,66,48,3,100
0.001,10,1000,False,67,41,3,100
0.001,10,1000,False,68,43,3,100
0.001,10,1000,False,69,42,3,100
0.001,10,1000,False,70,44,3,100
0.001,10,1000,False,71,49,3,100
0.001,10,1000,False,72,48,3,100
0.001,10,1000,False,73,40,3,100
0.001,10,1000,False,74,42,3,100
0.001,10,1000,False,75,43,3,100
0.001,10,1000,False,76,41,3,100
0.001,10,1000,False,77,36,3,100
0.001,10,1000,False,78,44,3,100
0.001,10,1000,False,79,47,3,100
0.001,10,1000,False,80,45,3,100
0.001,10,1000,False,81,45,3,100
0.001,10,1000,False,82,52,3,100
0.001,10,1000,False,83,36,3,100
0.001,10,1000,False,84,43,3,100
0.001,10,1000,False,85,39,3,100
0.001,10,1000,False,86,39,3,100
0.001,10,1000,False,87,41,3,100
0.001,10,1000,False,88,40,3,100
0.001,10,1000,False,89,42,3,100
0.001,10,1000,False,90,44,3,100
0.001,10,1000,False,91,40,3,100
0.001,10,1000,False,92,49,3,100
0.001,10,1000,False,93,53,3,100
0.001,10,1000,False,94,44,3,100
0.001,10,1000,False,95,48,3,100
0.001,10,1000,False,96,52,3,100
0.001,10,1000,False,97,42,3,100
0.001,10,1000,False,98,43,3,100
0.001,10,1000,False,99,39,3,100
0.001,10,1000,False,100,44,3,100
0.001,100,1000,False,1,31,3,100
0.001,100,1000,False,2,29,3,100
0.001,100,1000,False,3,28,3,100
0.001,100,1000,False,4,32,3,100
0.001,100,1000,False,5,16,3,100
0.001,10,1000,False,1,3,3,100
0.001,10,1000,False,2,7,3,100
0.001,10,1000,False,3,5,3,100
0.001,10,1000,False,4,7,3,100
0.001,10,1000,False,5,11,3,100
0.001,10,1000,False,6,1,3,100
0.001,10,1000,False,7,7,3,100
0.001,10,1000,False,8,10,3,100
0.001,10,1000,False,9,48,3,100
0.001,10,1000,False,10,41,3,100
0.001,10,1000,False,11,45,3,100
0.001,10,1000,False,12,43,3,100
0.001,10,1000,False,13,44,3,100
0.001,10,1000,False,14,42,3,100
0.001,10,1000,False,15,38,3,100
0.001,10,1000,False,16,43,3,100
0.001,10,1000,False,17,38,3,100
0.001,10,1000,False,18,43,3,100
0.001,10,1000,False,19,44,3,100
0.001,10,1000,False,20,40,3,100
0.001,10,1000,False,21,45,3,100
0.001,10,1000,False,22,36,3,100
0.001,10,1000,False,23,47,3,100
0.001,10,1000,False,24,56,3,100
0.001,10,1000,False,25,45,3,100
0.001,10,1000,False,26,39,3,100
0.001,10,1000,False,27,46,3,100
0.001,10,1000,False,28,49,3,100
0.001,10,1000,False,29,51,3,100
0.001,10,1000,False,30,48,3,100
0.001,10,1000,False,31,41,3,100
0.001,10,1000,False,32,40,3,100
0.001,10,1000,False,33,49,3,100
0.001,10,1000,False,34,41,3,100
0.001,10,1000,False,35,54,3,100
